hannah smith mari what do you expect me to think when you post ignorant drivel,1
by your logic it is ok to kill someone if you take care of them first,1
rachel mo martin i disagree with eating rabbits but just because i do doesnt mean that i have to hate everyone that eats them or throw a fit because someone doesnt agree with me,0
the reason i dont eat them is because cows have lots more meat per animal as do deer and pretty much every other animal that i eat,0
now i do disagree with people that eat rabbits that do not give the rabbits a good life while theyre alive or who treat the rabbits life like it were a joke like picking fun at dead rabbits and posting pictures of them skinned,0
yes i have encountered such people,0
however i like this video because it shows that these people do care about the rabbits,0
why else would they take the time to make him his own wheelchair,0
good on them for taking care of the little guy,0
hannah smith mari you are a self centred fool,1
theres no point in arguing with you because no sense can get through that thick skull of yours,0
good day,0
rashael benitez thank the good lord that yall were born in a powderpuff era where you didnt have to eat what you could or starve,0
but shame on yall for being such candy coated little liberal princesses that you feel the need to persecute someone for taking on a different approach to feeding their families than you,1
go back to your books,0
remember that your veggies and your tofu come from farms as well and without this complete way of life youd starve too,0
mari glodowicz your the one who is self centered and believe that your way is the only way,1
you throw insults at people who dont agree with you,0
i am making statements that can be backed by common sense and research,0
lauren gillies mari glodowicz humans are animals,0
a rabbit is a pet not for eating,0
im against eating any animal but especially a rabbit,0
would you eat a dog,0
or a cat for that matter,0
mari glodowicz tiffany desiree you are not the only one,0
i have eatten rabbit too,0
lauren e,0
leandro all these pissy negative nancies and selfrighteous vegetarians commenting like they know everything,1
httpswww,0
facebook,0
comoverlookacresvideos1703522799892754,0
frefnf,0
overlook acres this particular bunny will never be eaten  but i have explained in other comments that these bunniesrabbits live in a commune that reflects there natural environment,0
many new mothers will lose their entire first litter of kits because they dont build the nest properly or they abandon their kits  this is even more dramatic in the winter,0
unfortunately animals will also be animals and in a commune environment while trying to replicate natural habitat  which by far and large leads to happier and healthier bunnies you will occasionally have dominance issues between does  often that may mean another doe raiding another more submissive rabbits nest,0
if this happens the kits are unprotected and even if it was 50 or 60 degrees out it is tough for a newborn kit to survive in such a situation,0
when we identify that this happens the kits are brought inside and hand reared,0
there are over 20 rabbits in the commune though and rabbits have kits every 27 days  so you dont catch every single one,0
julie fawcettwatson i bet her kids respect the hell out of her,0
it takes a lot of courage to raise healthy food for her family,0
rudy daniels youre so ignorant vegans do not eat leaves  twigs but of course you are too moronic to know because your lazydisconnected ass is addicted to violence blood bone  dead flesh,1
robin ricca wehmeyer kasie dont tell me what i was and what i wasnt ok bitch,1
because you werent there,0
i was vegan for years,0
and i got tired of the bullshit the catty crap from bitches like you the hypocritical shit and the ignorant hysterical propoganda,1
oh and my meat eating friends didnt dump me when i became vegan but the socalled friends i had when i was vegan called me disgusting and a traitor when i became an omnivore once again,0
so you and your ilk can piss the hell off k,1
david hockenbarger this is not cute,0
your absolute refusal to listen to veterinarian medicine and just plain common sense has destroyed this poor bunnys life,0
of course you shouldnt be breeding in the first place,0
there are way too many unwanted rabbits in the world,0
you think youre saints for helping the poor thing,0
you arent,0
youre monsters for causing it in the first place,1
if you lose a single kit to the cold you have failed as a human,1
your job is to provide safe healthy homes to the animals we have domesticated,0
you obviously either cant or wont do this,0
you fail,1
linda sue overlook acres i am sorry you feel so greedy that you have to eat animals that are considered pets,1
this is 2016 news flash we humans do not require a meat diet but it is a choice we all make to eat or not eat meat,0
we are certainly not going to starve without by any means,0
so the i am feeding my family does not fly and if you raised them humanely they would not be freezing in your barn,0
david hockenbarger what is humane or respectful about hypothermia,0
that is animal abuse,0
plain and simple,0
you are psychopaths if you cant recognize that,1
oh and heres an admission that youre hoarders,1
you dont even know how many rabbits you have,0
whats the difference between you and some crazy woman in the city with 30 cats in her house,1
oh yeah she doesnt slaughter hers intentionally,0
you obvious dont care about these animals,0
you obviously dont even check them daily,0
how can you know they arent dying of horrific diseases when you dont even know how many there are,0
you cant,0
you cant know if one is in stasis,0
you cant tell if one has pasteurella or syphilis etc,0
you dont care either,0
you enjoy abusing animals,1
you are nothing but monsters,1
alexis mattes youre an idiot david hockenbarger,0
sharon mcfarlane you are despicable not only for bringing animals into the world for your flesh and fur enterprise but especially for exploiting this innocent babys misfortune,1
i wish id never seen this,0
tracey wyman gust get off facebook then sharon mcfarlane,0
either get off or quit judging people,0
are you god,1
robert bressler joanne stfu,0
just stfu,0
nobody asked you if youre a fucking vegetarian,0
just because youre an idiot im going to go eat a steak for you,1
psychotic freak animal abusers,1
yes because beans  rice are so expensive you fucking shit eating moron,1
your animal flesh is highly subsuduzed by taxpayer money if not you couldnt have your sick shitfilled  cow flesh burgers,1
dude lets just eat the fucking vegans,1
sarah doolittle fuck u twat waffle the zoo is down the road and they eat bugs with sticks you dumb fkn blonde knit wit,1
go you tube it,0
tina westfall you are nasty and hateful,0
shame on you,0
youre fucking ridiculous,1
hopefully the spca will shut you down and put you in prison,1
martha youre a moron,1
robin ricca wehmeyer kasie you will never understand the omnivorous world,0
please go away snowflake,0
its just not good for your fragile frontal lobe to be here,1
you poor poor thing,0
indee krakauer mc busbin are you an idiot on purpose or can you not help yourself,1
did you read how this bunny was saved from freezing to death but lost the use of his legs,0
he is a happy bunny rolling around on his little skateboard,0
got a problem with that,0
